vpn,client_type,stage,mtu,delay_ms,loss_pct,cpu_stress,tcp_throughput_mean,tcp_throughput_std,udp_throughput_mean,udp_throughput_std,rtt_mean,rtt_std,jitter_mean,cpu_mean,cpu_std,efficiency_mean,efficiency_std,reconnect_mean,reconnect_std,handshake_mean,handshake_std,samples
ipsec,VM,baseline,1500,,,False,39.97,9.96,28.72,4.69,14.6,0.05,0.75,0.3,0.15,163.98,88.19,,,2283.0,43.0,3
ipsec,VM,cpu_stress,1500,,,True,10.89,1.36,9.76,3.51,19.34,1.73,3.7,75.18,1.13,0.14,0.02,,,2633.67,34.79,3
ipsec,VM,latency,1500,50.0,,False,53.96,8.51,49.99,0.02,68.49,5.11,5.67,0.5,0.4,163.52,102.5,,,2725.0,451.2,3
ipsec,VM,loss,1500,,1.0,False,4.81,0.44,7.81,2.61,19.35,3.23,5.76,3.14,0.69,1.57,0.27,,,3387.33,1163.5,3
ipsec,VM,mobility,1500,,,False,65.36,9.19,31.79,5.95,14.92,0.68,1.55,0.36,0.15,203.79,89.52,2211.33,28.29,2232.33,15.01,3
ipsec,VM,mtu,1400,,,False,35.4,20.33,21.39,9.13,16.64,1.89,2.78,1.24,1.24,61.45,49.83,,,2356.0,127.54,3
openvpn,RaspberryPi,baseline,1500,,,False,67.98,2.48,50.0,0.0,13.15,0.28,0.99,0.03,0.0,2578.46,356.74,,,5130.33,12.86,3
openvpn,RaspberryPi,cpu_stress,1500,,,True,65.72,1.07,50.0,0.0,13.22,0.12,0.76,42.59,0.29,1.54,0.03,,,5104.0,6.24,3
openvpn,RaspberryPi,latency,1500,50.0,,False,58.51,2.24,50.0,0.0,62.95,0.03,0.22,0.03,0.0,1736.21,192.37,,,5163.33,2.31,3
openvpn,RaspberryPi,loss,1500,,1.0,False,7.89,0.2,50.0,0.0,13.32,0.26,1.56,0.03,0.0,236.91,5.9,,,5110.33,6.03,3
openvpn,RaspberryPi,mobility,1500,,,False,69.29,3.68,50.0,0.0,12.98,0.07,0.57,0.03,0.01,2321.93,592.49,7109.33,9.07,5099.67,1.15,3
openvpn,RaspberryPi,mtu,1400,,,False,67.63,4.82,50.0,0.0,13.41,0.32,1.48,0.04,0.01,2096.63,656.52,,,5106.33,4.04,3
openvpn,VM,baseline,1500,,,False,41.81,10.07,50.0,0.0,15.95,0.88,3.79,0.22,0.11,234.99,143.3,,,5108.67,28.5,3
openvpn,VM,cpu_stress,1500,,,True,16.54,1.78,49.99,0.01,31.59,14.64,30.47,76.46,0.99,0.22,0.02,,,5213.67,49.22,3
openvpn,VM,latency,1500,50.0,,False,43.49,11.08,49.99,0.01,71.77,7.07,13.91,0.39,0.36,209.26,156.35,,,5182.0,86.06,3
openvpn,VM,loss,1500,,1.0,False,4.7,1.02,49.99,0.02,20.4,5.3,10.36,1.97,1.27,3.8,3.68,,,5803.33,844.32,3
openvpn,VM,mobility,1500,,,False,51.43,13.71,50.0,0.0,15.49,0.49,2.45,0.54,0.3,140.0,122.1,7087.0,10.39,5075.0,28.58,3
openvpn,VM,mtu,1400,,,False,30.42,11.67,50.0,0.0,20.04,3.48,8.1,1.48,1.34,38.18,32.14,,,5144.33,91.74,3
wireguard,RaspberryPi,baseline,1500,,,False,84.79,6.75,50.0,0.0,12.96,0.09,0.35,0.04,0.0,2195.69,309.48,,,629.0,39.36,3
wireguard,RaspberryPi,cpu_stress,1500,,,True,89.21,0.37,50.0,0.0,13.13,0.12,0.78,42.66,0.06,2.09,0.01,,,653.0,85.46,3
wireguard,RaspberryPi,latency,1500,50.0,,False,80.6,7.37,50.0,0.0,63.04,0.14,0.86,0.04,0.0,2228.93,423.23,,,670.67,16.2,3
wireguard,RaspberryPi,loss,1500,,1.0,False,8.97,0.16,50.0,0.0,12.92,0.02,0.17,0.04,0.0,249.99,25.14,,,741.33,228.37,3
wireguard,RaspberryPi,mobility,1500,,,False,84.92,6.83,50.0,0.0,12.9,0.04,0.36,0.03,0.0,2637.41,141.0,5548.67,715.63,594.67,14.01,3
wireguard,RaspberryPi,mtu,1400,,,False,82.95,0.82,50.0,0.0,12.86,0.07,0.17,0.07,0.05,1603.02,848.91,,,652.67,44.97,3
wireguard,VM,baseline,1500,,,False,41.33,24.89,28.72,18.43,15.87,0.24,1.49,0.27,0.06,170.87,133.22,,,580.67,55.18,3
wireguard,VM,cpu_stress,1500,,,True,4.96,0.32,5.4,0.96,30.79,2.52,17.73,75.48,2.28,0.07,0.0,,,2322.33,1055.19,3
wireguard,VM,latency,1500,50.0,,False,53.35,3.95,50.0,0.0,74.21,2.25,27.37,0.24,0.13,285.63,171.59,,,916.33,358.76,3
wireguard,VM,loss,1500,,1.0,False,4.53,1.83,8.69,6.68,18.54,2.28,2.9,1.89,1.41,8.58,12.61,,,1071.33,346.8,3
wireguard,VM,mobility,1500,,,False,40.88,25.08,30.55,16.84,15.91,0.27,1.83,0.48,0.2,91.61,44.05,7934.67,4677.69,465.33,9.45,3
wireguard,VM,mtu,1400,,,False,10.16,5.25,7.8,3.75,22.28,5.5,9.18,1.68,1.43,12.79,16.17,,,1000.67,348.4,3
